通用,打开文档,command,,,o,
通用,新文档,command,,,n,
通用,保存,command,,,s,
通用,关闭文档,command,,,w,
通用,剪切,command,,,x,
通用,复制,command,,,c,
通用,粘贴,command,,,v,
通用,全选,command,,,a,
通用,加粗,command,,,b,
通用,斜体,command,,,i,
通用,下划线,command,,,u,
通用,逐磅减小字号,command,,,[,
通用,逐磅增大字号,command,,,],
通用,居中,command,,,e,
通用,左对齐,command,,,l,
通用,右对齐,command,,,r,
通用,撤销,command,,,z,
通用,恢复,command,,,y,
通用,拆分文档窗口,command,,alt,s,
通用,撤销拆分文档,,shift,alt,c,
通用,撤销拆分文档,,shift,alt,s,
通用,,,,,,
通用,搜索帮助,,,alt,q,
通用,文件页面,,,alt,f,
通用,,,,,,
通用,,,,,,
通用,功能区,,,,,f10
通用,功能区,,,alt,,
通用,展开收起功能区,command,,,,f1
通用,右键菜单,,shift,,,f10
通用,光标移到上个单词,command,,,,left
通用,光标移到下个单词,command,,,,right
通用,光标移到上个段落,command,,,,up
通用,光标移到下个段落,command,,,,down
通用,光标移到屏幕顶部,command,,alt,,page up
通用,光标移到屏幕底部,command,,alt,,page down
通用,光标移到上页顶部,command,,,,page up
通用,光标移到下页顶部,command,,,,page down
通用,上一次修正的位置,,shift,,,f5
通用,图像,command,,alt,5,
通用,导航,command,,,f,
通用,跳转到,command,,,g,
通用,循环前四个更改,command,,alt,z,
通用,打印,command,,,p,
通用,打印预览,command,,alt,i,
通用,开始扩展选定内容,,,,,f8
通用,减少所选内容,,shift,,,f8
通用,纵向选择模式,command,shift,,,f8
通用,停止选择模式,,,,,esc
通用,向左删除一个词,command,,,,backspace
通用,向右删除一个词,command,,,,delete
通用,移动目标到特定位置,,,,,f2
通用,复制内容到特定位置,,shift,,,f2
通用,选择内容定义自动图文集,,,alt,,f3
通用,剪切到图文场,command,,,,f3
通用,粘贴图文场,command,shift,,,f3
通用,复制格式,command,shift,,c,
通用,粘贴格式,command,shift,,v,
通用,复制上一节页眉页脚,,shift,alt,r,
通用,替换,command,,,h,
通用,调整段落,command,,,j,
通用,增加缩进,command,,,m,
通用,减少缩进,command,shift,,m,
通用,悬挂缩进,command,,,t,
通用,删除悬挂缩进,command,shift,,t,
通用,删除段落格式,command,,,q,
通用,单倍行距,command,,,1,
通用,双倍行距,command,,,2,
通用,1.5倍行距,command,,,5,
通用,添加或删除段前空格,command,,,0,
通用,启用自动套用格式,command,,alt,k,
通用,正文样式,command,shift,,n,
通用,标题 1,command,,alt,1,
通用,标题 2,command,,alt,2,
通用,标题 3,command,,alt,3,
通用,应用样式任务窗格,command,shift,,s,
通用,字体对话框,command,,,d,
通用,字体对话框,command,shift,,f,
通用,增大字号,command,shift,,.,
通用,减小字号,command,shift,,",",
通用,逐磅增大字号,command,,,],
通用,逐磅减小字号,command,,,[,
通用,大写、小写、首字母大写,,shift,,,f3
通用,全部大写,command,shift,,a,
通用,隐藏所选文本,command,shift,,h,
通用,下划线(空格除外),command,shift,,w,
通用,双下划线,command,shift,,d,
通用,小型大写字母格式,command,shift,,k,
通用,下标,command,,,=,
通用,上标,command,shift,,=,
通用,手动设置的字符格式,command,,,space,
通用,所选文字改为符号字体,command,shift,,q,
通用,显示所有非打印字符,command,shift,,8,
通用,显示格式任务窗格,,shift,,,f11
通用,插入换行符,,shift,,,enter
通用,插入分页符,command,,,,enter
通用,插入长划线,command,shift,,,enter
通用,插入可选连字符,command,shift,,,numpad_minus
通用,插入短划线,command,,,,numpad_minus
通用,插入不间断连字符,command,shift,,-,
通用,插入不间断空格,command,shift,,space,
通用,?,command,,alt,c,
通用,?,command,,alt,r,
通用,?,command,,alt,t,
通用,插入省略号,command,,alt,.,
通用,Unicode字符转换,,,alt,x,
通用,插入超链接,command,,,k,
通用,返回一页,,,alt,,left
通用,前进一页,,,alt,,right
通用,刷新页面,,,,,f9
通用,插入批注,command,,alt,m,
通用,打开或关闭修订,command,shift,,e,
通用,关闭审阅窗格,,shift,alt,c,
通用,标记目录项,,shift,alt,o,
通用,标记引文目录项,,shift,alt,i,
通用,插入索引项,,shift,alt,x,
通用,插入脚注,command,,alt,f,
通用,插入尾注,command,,alt,d,
通用,下一条脚注,,shift,alt,.,
通用,上一条脚注,,shift,alt,",",
通用,预览邮件合并,,shift,alt,k,
通用,合并文档,,shift,alt,n,
通用,打印已合并文档,,shift,alt,m,
通用,编辑邮件合并数据文档,,shift,alt,e,
通用,插入合并域,,shift,alt,f,
通用,插入日期域,,shift,alt,d,
通用,插入 ListNum 域,,shift,alt,l,
通用,插入页字段,,shift,alt,p,
通用,插入时间域,,shift,alt,t,
通用,插入空域,command,,,,f9
通用,更新源链接,command,shift,,,f7
通用,更新选定域,,,,,f9
通用,取消域链接,command,shift,,,f9
通用,切换域代码和结果,,shift,,,f9
通用,切换所有域代码和结果,,,alt,,f9
通用,下一个域,,shift,alt,,f9
通用,上一个域,,,,,f11
通用,锁定域,,shift,,,f11
通用,解除域锁定,command,shift,,,f11
通用,切换到页面视图,command,,alt,p,
通用,切换到大纲视图,command,,alt,o,
通用,切换到草稿视图,command,,alt,n,
通用,,,,,,
通用,Word帮助,,,,,f1
通用,上下文帮助,,shift,,,f1
通用,显示/隐藏功能区,command,,,,f1
通用,移到下一个字段,,,alt,,f1
通用,移到上一个字段 ,,shift,alt,,f1
通用,移动选定内容,,,,,f2
通用,复制所选内容,,shift,,,f2
通用,打印预览,command,,,,f2
通用,保存文档,,shift,alt,,f2
通用,打开,command,,alt,,f2
通用,大写、小写、首字母大写,,shift,,,f3
通用,剪切到图文场,command,,,,f3
通用,粘贴图文场,command,shift,,,f3
通用,创建新构建基块,,,alt,,f3
通用,重复上一个操作,,,,,f4
通用,重复查找/转到,,shift,,,f4
通用,关闭文档,command,,,,f4
通用,关闭Word,,,alt,,f4
通用,转到,,,,,f5
通用,最后一处更改,,shift,,,f5
通用,书签对话框,command,shift,,,f5
通用,还原文档窗口大小,,,alt,,f5
通用,切换焦点,,,,,f6
通用,切换焦点,,shift,,,f6
通用,下一个文档窗口,command,,,,f6
通用,上一个文档窗口,command,shift,,,f6
通用,焦点回到文档,,,alt,,f6
通用,编辑器审阅,,,,,f7
通用,同义词库,,shift,,,f7
通用,更新源链接信息,command,shift,,,f7
通用,查找下一个语法错误,,,alt,,f7
通用,翻译工具,,shift,alt,,f7
通用,扩大选区,,,,,f8
通用,缩小选区,,shift,,,f8
通用,开关扩展选择模式,command,shift,,,f8
通用,宏 对话框,,,alt,,f8
通用,更新所选域,,,,,f9
通用,切换域代码和结果,,shift,,,f9
通用,插入空字段,command,,,,f9
通用,取消字段操作,command,shift,,,f9
通用,切换所有域代码和结果,,,alt,,f9
通用,结果域中运行 GotoButton / MacroButton,,shift,alt,,f9
通用,开关快捷键提示,,,,,f10
通用,右键菜单,,shift,,,f10
通用,切换最大化,command,,,,f10
通用,选择 任务窗格,,,alt,,f10
通用,显示可用操作菜单,,shift,alt,,f10
通用,下一个字段,,,,,f11
通用,上一个字段,,shift,,,f11
通用,锁定当前字段,command,,,,f11
通用,解锁当前字段,command,shift,,,f11
通用,打开宏编辑器,,,alt,,f11
通用,另存为,,,,,f12
通用,保存,,shift,,,f12
通用,打开,command,,,,f12
通用,打印,command,shift,,,f12
通用,目录窗口中 目录,,shift,alt,,f12
